node_id pop_name DSI OSI preferred_angle max_mean_rate(Hz) Avg_Rate(Hz)
0 e5Rbp4 1.0 1.0 180 0.2 0.025
1 e5Rbp4 0.3022378754303918 0.4991341984846217 180 2.2 0.8500000000000001
2 e5Rbp4 0.0678417598081819 0.1082288644497504 180 16.0 11.15
3 e5Rbp4 0.8110689194469006 0.7905694150420949 180 1.8 0.3
4 e5Rbp4 0.48040842198006933 0.5369034420847466 180 5.6 1.4000000000000001
5 e5Rbp4 0.3381717506294922 0.5662267553826407 180 5.0 1.5250000000000001
6 e5Rbp4 0.13559738595841142 0.1800438061502369 180 5.2 2.4250000000000003
7 e5Rbp4 0.06559959290900365 0.08536052878135451 180 14.0 10.725
8 e5Rbp4 0.254357513811983 0.9136250564655355 180 1.2 0.275
9 e5Rbp4 0.7628453533835051 0.8689660757568884 180 1.2 0.175
10 e5Rbp4 0.3882124270089561 0.5537514108334172 180 2.8 0.8
11 e5Rbp4 0.44047779471151755 0.5189772293419623 180 5.4 1.575
12 e5Rbp4 0.7707106781186547 0.7280109889280517 180 2.8 0.5
13 e5Rbp4 0.17392449372240157 0.30109926939668497 180 6.4 3.0999999999999996
14 e5Rbp4 0.050687210356405714 0.07748736921153554 180 14.6 11.125
15 e5Rbp4 0.1877995410695788 0.3614847627492725 180 15.2 6.45
16 e5Rbp4 1.0 1.0 180 0.2 0.025
17 e5Rbp4 1.0 1.0 180 0.6 0.075
18 e5Rbp4 1.0 1.0 180 1.2 0.15
19 e5Rbp4 1.0 1.0 180 0.6 0.075
20 e5Rbp4 0.18015951414725118 0.3431203418599801 180 7.0 2.875
21 e5Rbp4 0.29926426066855155 0.6692337407256539 180 5.2 1.3499999999999999
23 e5Rbp4 0.06459153988241853 0.10209594882481822 180 19.0 13.125
24 e5Rbp4 0.22682111684872283 0.38826143810414165 180 6.2 2.35
25 e5Rbp4 0.18114355991869152 0.2099049628344877 180 5.0 2.225
26 e5Rbp4 0.24503598125016843 0.4546613829113391 180 7.8 2.425
27 e5Rbp4 0.1775619985907877 0.1992867309662021 180 13.2 6.625
28 e5Rbp4 0.3695632923679389 0.5002600780409943 180 5.0 1.55
29 e5Rbp4 0.3476004019888924 0.4773628266572586 180 6.4 2.2249999999999996
30 e5Rbp4 0.14828242308118705 0.11755951400897778 180 10.2 6.2
31 e5Rbp4 0.08322235560974056 0.16201596894845882 180 16.0 9.775
32 e5Rbp4 1.0 1.0 180 0.2 0.025
33 e5Rbp4 1.0 1.0 180 0.2 0.025
34 e5Rbp4 0.044717771419514524 0.08236005497188834 180 13.6 10.325
35 e5Rbp4 0.17481655073372604 0.28629515747699275 180 10.0 4.225
36 e5Rbp4 0.25426049167900555 0.37728048639902984 180 5.0 1.95
37 e5Rbp4 0.21787323696271985 0.4821182598999188 180 3.2 1.1
38 e5Rbp4 0.3157098922916595 0.6274642363608078 180 5.6 1.525
39 e5Rbp4 0.3085667813905589 0.48841425352440926 180 3.0 1.0250000000000001
40 e5Rbp4 0.051947381224782284 0.06731567516025827 180 17.4 13.375
41 e5Rbp4 0.616202586398963 0.7071067811865475 180 2.2 0.5
42 e5Rbp4 0.45822782891179964 0.6615449518785623 180 1.6 0.5249999999999999
43 e5Rbp4 0.08648302716115676 0.08189519010550107 180 5.4 3.8249999999999997
45 e5Rbp4 0.09040903264900264 0.14708710135363798 180 17.0 10.4
46 e5Rbp4 0.29133359548419974 0.5520846601661807 180 4.4 1.475
47 e5Rbp4 0.559810992789815 0.552268050859363 180 2.2 0.5
48 e5Rbp4 0.23504109813373128 0.33132566088898147 180 4.8 1.825
49 e5Rbp4 0.07220120844667904 0.0852756982216819 180 15.8 11.174999999999999
50 e5Rbp4 1.0 1.0 135 0.2 0.025
51 e5Rbp4 0.14059036364302194 0.384297163688341 180 5.4 2.3
52 e5Rbp4 0.5115980296782646 0.48571428571428565 180 3.2 0.8750000000000001
53 e5Rbp4 0.10673826182163317 0.19788377912487523 135 3.6 2.3499999999999996
57 e5Rbp4 0.09615675617929938 0.1435441219062537 180 9.4 5.75
58 e5Rbp4 0.3520538582766885 0.4346134936801766 180 4.6 1.5000000000000002
60 e5Rbp4 0.058232947882754266 0.07674384760041092 180 10.4 7.825
61 e5Rbp4 1.0 1.0 180 1.0 0.125
62 e5Rbp4 0.49999999999999994 1.0 180 1.2 0.2
63 e5Rbp4 0.5371820192165697 0.41105691133029215 180 3.6 0.9750000000000001
64 e5Rbp4 0.1593937138641263 0.3765903520021152 180 4.2 2.075
65 e5Rbp4 0.23603703952212193 0.2484519974999766 180 5.4 2.25
66 e5Rbp4 0.14298113012813948 0.21336203130216042 180 7.2 3.4
67 e5Rbp4 0.47680741832664214 0.3924018842390098 180 3.2 0.8500000000000001
68 e5Rbp4 0.4964697759997256 0.5598598688085547 180 4.6 1.3499999999999999
71 e5Rbp4 0.06783558869882121 0.12910471651751643 180 14.0 9.175
72 e5Rbp4 0.3979209778225586 0.3466718994895485 180 1.8 0.525
73 e5Rbp4 0.04640057202411668 0.04409870793282685 180 8.2 6.85
74 e5Rbp4 0.4057144279440983 0.5902791802119337 180 3.8 0.925
75 e5Rbp4 0.21495631269379226 0.061224489795918345 180 2.0 1.225
76 e5Rbp4 1.0 1.0 180 0.8 0.1
78 e5Rbp4 1.0 1.0 180 0.8 0.1
79 e5Rbp4 0.3116181909282169 0.6443007502635113 180 7.2 1.7999999999999998
80 e5Rbp4 1.0 1.0 180 0.4 0.05
81 e5Rbp4 0.647660197128967 0.8567800313736686 180 2.6 0.47500000000000003
82 e5Rbp4 6.123233995736766e-17 1.0 0 0.2 0.05
84 e5Rbp4 0.25517363754470207 0.3685227901128274 180 9.0 3.4250000000000003
85 e5Rbp4 0.208694513237381 0.3255186268834421 180 6.0 2.425
86 e5Rbp4 0.1354404964756818 0.1363080395897642 180 10.6 6.5
87 e5Rbp4 0.13160706643540235 0.27180425129200636 180 3.0 1.7500000000000002
88 e5Rbp4 0.46344821858163376 0.485912657903775 180 1.2 0.3
90 e5Rbp4 1.0 1.0 180 0.2 0.025
91 e5Rbp4 0.27196414661021057 0.7297563831157796 180 2.6 0.65
92 e5Rbp4 1.0 1.0 180 0.2 0.025
93 e5Rbp4 0.035032484627223553 0.09591012095044193 180 10.0 7.750000000000001
94 e5Rbp4 0.49394397382056676 0.7635738226910098 180 4.2 0.8500000000000001
95 e5Rbp4 1.0 1.0 180 0.2 0.025
96 e5Rbp4 0.3510067797115327 0.2743148547191888 180 5.8 1.8249999999999997
97 e5Rbp4 0.06129416333520691 0.09011038288585177 180 14.8 10.325000000000001
98 e5Rbp4 0.5636225367312175 0.9262765060609456 180 2.0 0.325
99 e5Rbp4 0.6182233841207858 0.8000865005138494 180 2.2 0.42500000000000004
101 e5Rbp4 0.8785943726954125 0.7091957274840683 180 2.0 0.325
102 e5Rbp4 0.9584574964764054 0.8498365855987975 180 1.0 0.15
103 e5Rbp4 0.0917707013269171 0.16859461368787315 180 14.2 8.849999999999998
104 e5Rbp4 0.1588125163066551 0.3472934537751871 180 18.4 8.174999999999999
105 e5Rbp4 0.26418133757433926 0.4689932286569573 180 3.2 1.05
107 e5Rbp4 0.055585138667627564 0.06484662427894748 180 5.6 4.0249999999999995
108 e5Rbp4 0.3500854351574471 0.25959559911944347 180 4.6 1.95
109 e5Rbp4 0.03845571550173185 0.12022106306425635 180 22.2 15.249999999999998
110 e5Rbp4 0.0855475257274352 0.12718801139543112 180 18.0 11.375
111 e5Rbp4 1.0 1.0 180 0.8 0.1
112 e5Rbp4 0.21941004474905496 0.2203745348525562 180 6.0 2.725
113 e5Rbp4 1.0 1.0 180 0.2 0.025
114 e5Rbp4 0.4372072383461153 0.4811536924306462 180 5.4 1.3000000000000003
115 e5Rbp4 1.0 1.0 180 0.4 0.05
116 e5Rbp4 0.02905267898524289 0.09681682620745792 0 5.0 3.9499999999999997
117 e5Rbp4 0.6414213562373096 0.8 180 2.6 0.5
119 e5Rbp4 1.0 1.0 180 0.4 0.05
120 e5Rbp4 0.09590481687968203 0.16865020348706497 180 12.8 8.200000000000001
121 e5Rbp4 0.7071067811865476 6.123233995736765e-17 180 0.2 0.05
122 e5Rbp4 0.03946512550767578 0.22820993837163764 180 9.4 6.05
123 e5Rbp4 0.08208073134159495 0.1849556159776091 180 4.2 2.5999999999999996
124 e5Rbp4 0.05672801265830263 0.09613843664416674 180 17.8 12.749999999999998
125 e5Rbp4 0.7933202773696759 0.8498365855987975 180 1.8 0.3
126 e5Rbp4 0.31263245559814873 0.24857872640263212 180 5.8 2.1
127 e5Rbp4 0.1577988994076294 0.19276867824833332 180 5.6 3.2500000000000004
128 e5Rbp4 0.4643472499203562 0.8256275792716588 180 2.2 0.42500000000000004
129 e5Rbp4 0.1947413274126687 0.3835616438356163 180 10.2 3.65
130 e5Rbp4 0.2319588573557988 0.4703197306082951 180 3.6 1.0749999999999997
131 e5Rbp4 0.9238795325112866 0.7071067811865476 180 0.2 0.05
132 e5Rbp4 0.19911131146185007 0.2210664455262403 180 4.4 1.9749999999999999
133 e5Rbp4 0.1689392665929554 0.3042141019587548 180 6.8 3.425
134 e5Rbp4 0.08676183114530063 0.20360275448198895 180 4.0 2.8
135 e5Rbp4 1.0 1.0 180 0.2 0.025
136 e5Rbp4 0.18920847952026737 0.36167593207172455 180 3.2 1.425
137 e5Rbp4 0.36793720128224744 0.4932975938212032 180 2.4 0.825
138 e5Rbp4 1.0 1.0 180 0.2 0.025
140 e5Rbp4 0.22053494306976942 0.2897170178177718 180 5.0 2.1999999999999997
