,w0,w1,w2,w3,w4
exc_to_exc,-0.052782145337994496,0.40993088357216423,1.1705386851621589,0.13328328811177342,-0.007364328667997189
exc_to_e23,-0.11766988236012695,0.7083658981782146,0.43161750596884896,0.5158196217833779,0.04704818550012621
exc_to_e4,-0.07980635743738948,0.43505509494052474,1.2500069606505282,-0.10059526718312678,0.018430709381258015
exc_to_e5et,-0.04758808138586956,0.34611868745066043,1.7457023317622777,0.04024198492131559,-0.0006867950664237732
exc_to_e5it,-0.16216850054020937,0.8117416539089939,0.24478328560389578,0.41045815596406754,0.3704940104815786
exc_to_e5np,-0.07700629236241463,0.5307319531096167,0.89148794286312,0.0023905826246423123,0.007027340501882487
exc_to_e6,-0.07700629227401876,0.5307319529144241,0.89148794306772,0.0023905825036223405,0.007027340535617516
exc_to_pv,0.6127560717898949,0.5636156092903877,0.010336316529388684,0.06608002201995096,-0.014508087823914932
exc_to_sst,0.06583693870939183,0.9317346968573557,0.21539747166150927,0.1458791442507515,-0.018889978317542314
exc_to_vip,-0.08830877744721247,0.651199883721619,0.7259406622116651,-0.04964725713416246,0.012325978581860186
exc_to_inh,0.34900198452036846,0.816572068255479,0.009009906631839593,0.11470032280382392,-0.021905514974689257
e23_to_exc,0.0723225972372617,0.45287852495588093,0.6797076126130837,0.24267294976467696,0.08366160791521611
e23_to_e23,-0.019892270988020044,0.5611087597260671,0.5072229235009358,0.5149391695248104,0.03729200132901847
e23_to_e4,-0.07980635739617625,0.4350550948483882,1.2500069607581699,-0.10059526725700779,0.018430709404967188
e23_to_e5et,-0.047588081458534576,0.34611868763347753,1.7457023315542322,0.040241985047972384,-0.0006867951011626794
e23_to_e5it,-0.1621685003977696,0.8117416536486173,0.24478328582570436,0.4104581558553974,0.37049401050755937
e23_to_e5np,-0.14633286032281523,0.6917943123233837,0.7116585772693838,0.11526771346888985,-0.02539762734570422
e23_to_e6,-0.13755904830290583,0.6880304892665011,0.6996243502052899,0.13153227416629165,-0.03265664155458134
e23_to_pv,0.6213111368473422,0.5280456430522467,0.061036778208670525,-0.02644085347445694,0.015149594288470306
e23_to_sst,0.06249666346573071,0.9467347387001248,0.10715666196707041,0.20612740451938644,-0.020500768167722505
e23_to_vip,-0.09118878183886833,0.6764062166171275,0.6557163801988651,-0.06044456975923848,0.013677803610010447
e23_to_inh,0.4782659846429427,0.5388269543393821,0.21710771344993973,-0.010283743908599718,0.007117322297053613
e4_to_exc,-0.05191590511407965,0.3498466307630957,1.372235582869401,0.03680482294855253,0.0008642876678177508
e4_to_e23,0.017203061983755707,0.45431518242604596,0.6479430169794338,0.415008338333157,0.06908603651163443
e4_to_e4,-0.08031213989315103,0.4517847395101043,1.282272153234128,-0.09326425702985752,0.01748668982567826
e4_to_e5et,-0.028194782949965524,0.20985546821331813,1.5088470048040916,0.10820246651534798,-0.00787271876544908
e4_to_e5it,-0.1621685004845004,0.8117416538336131,0.24478328563638618,0.4104581559676284,0.3704940104755681
