sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
b_on0m,1000,544263,1,1000,0.0037,0.0000,4.0264,0.0054,1.8926,0.0072,"train"
b_y7bf,5000,3074601,1,1000,0.0036,0.0000,4.3592,0.0052,1.6511,0.0026,"train"
b_ubco,10000,6645432,1,1000,0.0036,0.0000,4.4366,0.0053,2.7256,0.0015,"train"
b_aeym,20000,14807994,1,1000,0.0036,0.0000,4.9276,0.0065,4.6116,0.0016,"train"
b_gh6y,40000,31863080,1,1000,0.0036,0.0000,6.0974,0.0061,8.8211,0.0022,"train"
b_on0m,1000,544263,10,4000,0.0038,0.0000,6.4804,0.0711,5.7559,0.1023,"test"
b_y7bf,5000,3074601,10,4000,0.0038,0.0000,9.0726,0.0685,6.0176,0.0748,"test"
b_ubco,10000,6645432,10,4000,0.0038,0.0000,11.7456,0.1098,6.9902,0.0000,"test"
b_aeym,20000,14807994,10,4000,0.0038,0.0000,13.4124,0.1019,8.6191,0.1258,"test"
b_gh6y,40000,31863080,10,4000,0.0038,0.0000,18.1813,0.1091,10.8027,0.0000,"test"
b_k2zc,65871,54378241,1,1000,0.0037,0.0000,8.1367,0.0065,14.3594,0.0033,"train"
b_k2zc,65871,54378241,10,4000,0.0039,0.0000,25.5242,0.1533,12.3047,0.0000,"test"
b_g0i6,203816,179735332,1,1000,0.0030,0.0000,19.0208,0.0104,43.6048,0.0264,"train"
b_g0i6,203816,179735332,10,4000,0.0038,0.0000,69.3900,0.2046,23.1230,0.3471,"test"
