sim_name,n_neurons,n_edges,batch_size,seq_len,mean_rate,sem_rate,mean_step_time,sem_step_time,mean_gpu_memory,sem_gpu_memory,mode
b_z2i5,1000,544263,1,1000,0.0036,0.0000,3.6415,0.0203,2.1643,0.0101,"train"
b_4lff,5000,3074601,1,1000,0.0036,0.0000,3.7886,0.0034,1.4148,0.0025,"train"
b_0e9x,10000,6645432,1,1000,0.0035,0.0000,3.9436,0.0034,1.9357,0.0009,"train"
b_z62m,20000,14807994,1,1000,0.0036,0.0000,4.7752,0.0046,3.5159,0.0012,"train"
b_oie9,5000,3074601,2,1000,0.0037,0.0000,4.0466,0.0071,2.8487,0.0144,"train"
b_h173,1000,544263,2,1000,0.0036,0.0000,4.3920,0.0472,2.6519,0.0111,"train"
b_178o,10000,6645432,2,1000,0.0036,0.0000,4.3545,0.0062,3.3010,0.0102,"train"
b_r5w0,1000,544263,4,1000,0.0036,0.0000,3.7842,0.0071,2.8949,0.0118,"train"
b_oxqn,20000,14807994,2,1000,0.0037,0.0000,5.3377,0.0078,5.5229,0.0083,"train"
b_9s38,5000,3074601,4,1000,0.0038,0.0000,4.4946,0.0073,3.0014,0.0057,"train"
b_ihj7,10000,6645432,4,1000,0.0037,0.0000,4.9595,0.0063,4.6112,0.0054,"train"
b_yxe0,1000,544263,6,1000,0.0035,0.0000,4.0808,0.0075,3.1997,0.0115,"train"
b_i0er,20000,14807994,4,1000,0.0038,0.0000,6.3893,0.0083,8.5734,0.0065,"train"
b_p4xx,5000,3074601,6,1000,0.0038,0.0000,4.6500,0.0073,4.2287,0.0085,"train"
b_4enx,10000,6645432,6,1000,0.0038,0.0000,5.7194,0.0071,6.4963,0.0077,"train"
b_5pak,40000,31863080,1,1000,0.0035,0.0000,7.0750,0.0074,6.8097,0.0015,"train"
b_phuz,20000,14807994,6,1000,0.0038,0.0000,7.8072,0.0084,11.6748,0.0081,"train"
b_xoh3,40000,31863080,2,1000,0.0037,0.0000,8.4803,0.0078,10.4385,0.0085,"train"
